cantDens,Res,Tiempo,Tipo
0.9,57,0.946769,GrafoRandomDVarHeurEmi
0.9,148,46774.7,GrafoRandomDVarExacto
0.9,58,0.936362,GrafoRandomDVarHeurEmi
0.9,148,50397.9,GrafoRandomDVarExacto
0.9,37,0.971073,GrafoRandomDVarHeurEmi
0.9,148,105754,GrafoRandomDVarExacto
0.9,37,0.965416,GrafoRandomDVarHeurEmi
0.9,149,77625.6,GrafoRandomDVarExacto
0.9,37,0.98567,GrafoRandomDVarHeurEmi
0.9,149,83666.7,GrafoRandomDVarExacto
0.9,59,0.973797,GrafoRandomDVarHeurEmi
0.9,147,55590.7,GrafoRandomDVarExacto
0.9,57,0.945651,GrafoRandomDVarHeurEmi
0.9,148,36349.7,GrafoRandomDVarExacto
0.9,54,0.973448,GrafoRandomDVarHeurEmi
0.9,147,81927.7,GrafoRandomDVarExacto
0.9,58,0.948096,GrafoRandomDVarHeurEmi
0.9,147,62765.5,GrafoRandomDVarExacto
0.9,57,0.974426,GrafoRandomDVarHeurEmi
0.9,147,70704.7,GrafoRandomDVarExacto
0.9,38,0.97687,GrafoRandomDVarHeurEmi
0.9,149,67382,GrafoRandomDVarExacto
0.9,55,0.9504,GrafoRandomDVarHeurEmi
0.9,147,115707,GrafoRandomDVarExacto
