cantNod,Res,Tiempo_ms,Tipo
17,0,0.179467,FuncionEneCuarta
17,72,0.172662,CompletoHeurNipo
17,0,0.216846,CompletoHeurEmi
17,0,0.012074,FuncionEneCubo
17,0,0.188497,FuncionEneCuarta
17,72,0.185963,CompletoHeurNipo
17,0,0.196696,CompletoHeurEmi
17,0,0.011979,FuncionEneCubo
17,0,0.189541,FuncionEneCuarta
17,72,0.187883,CompletoHeurNipo
17,0,0.192863,CompletoHeurEmi
17,0,0.011765,FuncionEneCubo
17,0,0.195243,FuncionEneCuarta
17,72,0.197766,CompletoHeurNipo
17,0,0.183263,CompletoHeurEmi
17,0,0.011333,FuncionEneCubo
17,0,0.179741,FuncionEneCuarta
17,72,0.1729,CompletoHeurNipo
17,0,0.183089,CompletoHeurEmi
17,0,0.011286,FuncionEneCubo
17,0,0.179629,FuncionEneCuarta
18,81,0.238563,CompletoHeurNipo
18,0,0.221768,CompletoHeurEmi
18,0,0.014115,FuncionEneCubo
18,0,0.238519,FuncionEneCuarta
18,81,0.234369,CompletoHeurNipo
18,0,0.356229,CompletoHeurEmi
18,0,0.014312,FuncionEneCubo
18,0,0.246836,FuncionEneCuarta
18,81,0.240775,CompletoHeurNipo
18,0,0.222481,CompletoHeurEmi
18,0,0.014617,FuncionEneCubo
18,0,0.249977,FuncionEneCuarta
18,81,0.228099,CompletoHeurNipo
18,0,0.252326,CompletoHeurEmi
18,0,0.015764,FuncionEneCubo
18,0,0.273516,FuncionEneCuarta
18,81,0.221022,CompletoHeurNipo
18,0,0.240542,CompletoHeurEmi
18,0,0.014504,FuncionEneCubo
18,0,0.228305,FuncionEneCuarta
18,81,0.217883,CompletoHeurNipo
