cantNod,Res,Tiempo_ms,Tipo
254,7009,574.64,GrafoRandomDMediaHeurNipo
254,6141,346.123,GrafoRandomDMediaHeurEmi
254,6979,558.49,GrafoRandomDMediaHeurNipo
254,6164,344.954,GrafoRandomDMediaHeurEmi
254,7032,575.814,GrafoRandomDMediaHeurNipo
254,6171,346.026,GrafoRandomDMediaHeurEmi
254,7038,546.779,GrafoRandomDMediaHeurNipo
254,6214,331.727,GrafoRandomDMediaHeurEmi
254,7065,586.044,GrafoRandomDMediaHeurNipo
254,6168,348.132,GrafoRandomDMediaHeurEmi
254,6906,545.678,GrafoRandomDMediaHeurNipo
254,6105,344.687,GrafoRandomDMediaHeurEmi
254,7071,566.083,GrafoRandomDMediaHeurNipo
254,6302,345.612,GrafoRandomDMediaHeurEmi
254,7031,550.39,GrafoRandomDMediaHeurNipo
254,6285,346.054,GrafoRandomDMediaHeurEmi
254,6992,568.169,GrafoRandomDMediaHeurNipo
254,6217,343.682,GrafoRandomDMediaHeurEmi
254,6977,560.452,GrafoRandomDMediaHeurNipo
254,6184,344.968,GrafoRandomDMediaHeurEmi
254,6990,558.833,GrafoRandomDMediaHeurNipo
254,6193,366.754,GrafoRandomDMediaHeurEmi
254,7002,560.627,GrafoRandomDMediaHeurNipo
254,6233,346.478,GrafoRandomDMediaHeurEmi
254,6956,563.976,GrafoRandomDMediaHeurNipo
254,6155,347.257,GrafoRandomDMediaHeurEmi
254,6968,547.094,GrafoRandomDMediaHeurNipo
254,6215,343.962,GrafoRandomDMediaHeurEmi
254,6970,551.464,GrafoRandomDMediaHeurNipo
254,6231,345.251,GrafoRandomDMediaHeurEmi
254,7032,568.283,GrafoRandomDMediaHeurNipo
254,6244,344.664,GrafoRandomDMediaHeurEmi
254,6999,574.114,GrafoRandomDMediaHeurNipo
254,6188,346.63,GrafoRandomDMediaHeurEmi
254,7000,562.437,GrafoRandomDMediaHeurNipo
254,6222,344.821,GrafoRandomDMediaHeurEmi
254,7017,562.667,GrafoRandomDMediaHeurNipo
254,6204,345.645,GrafoRandomDMediaHeurEmi
254,6968,569.228,GrafoRandomDMediaHeurNipo
254,6131,343.547,GrafoRandomDMediaHeurEmi
254,6944,555.419,GrafoRandomDMediaHeurNipo
254,6181,344.14,GrafoRandomDMediaHeurEmi
255,7104,564.701,GrafoRandomDMediaHeurNipo
255,6349,353.867,GrafoRandomDMediaHeurEmi
255,6995,562.652,GrafoRandomDMediaHeurNipo
255,6214,349.374,GrafoRandomDMediaHeurEmi
255,7085,582.044,GrafoRandomDMediaHeurNipo
255,6247,351.569,GrafoRandomDMediaHeurEmi
255,7052,575.162,GrafoRandomDMediaHeurNipo
255,6227,351.633,GrafoRandomDMediaHeurEmi
255,7074,577.145,GrafoRandomDMediaHeurNipo
255,6224,350.172,GrafoRandomDMediaHeurEmi
255,7073,584.462,GrafoRandomDMediaHeurNipo
255,6231,349.484,GrafoRandomDMediaHeurEmi
255,7027,569.785,GrafoRandomDMediaHeurNipo
255,6227,352.333,GrafoRandomDMediaHeurEmi
255,7074,592.848,GrafoRandomDMediaHeurNipo
255,6195,355.817,GrafoRandomDMediaHeurEmi
255,7012,579.804,GrafoRandomDMediaHeurNipo
255,6179,349.892,GrafoRandomDMediaHeurEmi
255,7041,566.948,GrafoRandomDMediaHeurNipo
255,6244,348.636,GrafoRandomDMediaHeurEmi
255,7059,577.473,GrafoRandomDMediaHeurNipo
255,6256,351.487,GrafoRandomDMediaHeurEmi
255,7007,554.208,GrafoRandomDMediaHeurNipo
255,6266,348.574,GrafoRandomDMediaHeurEmi
255,7089,577.035,GrafoRandomDMediaHeurNipo
